#,item_id,item,quantity,price_per_unit,price,has_sold,created_at,insert_time
100,6756197601837119,Cobalt Ore,6,43,258,true,2025-09-21T17:38:25Z,2025-09-21 15:26:57.173216
101,8163541706015752,Cobalt Ore,6,43.17,259,true,2025-09-21T17:36:04Z,2025-09-21 15:26:57.885259
102,3378591935823962,Cobalt Ore,6,44.83,269,false,2025-09-21T17:35:05Z,2025-09-21 15:26:57.885431
103,3378591935823961,Cobalt Ore,6,44.83,269,false,2025-09-21T17:35:00Z,2025-09-21 15:26:57.885550
104,1689711145388822,Cobalt Ore,5,50,250,false,2025-09-21T17:33:35Z,2025-09-21 15:26:57.885670
105,2252556305301892,Cobalt Ore,6,43.33,260,true,2025-09-21T17:29:10Z,2025-09-21 15:26:57.885777
106,9289568328351950,Cobalt Ore,6,46.17,277,false,2025-09-21T17:29:09Z,2025-09-21 15:26:57.885883
107,2252556255888262,Cobalt Ore,3,86.67,260,false,2025-09-21T17:29:06Z,2025-09-21 15:26:57.885982
108,9289568328351951,Cobalt Ore,6,46.17,277,false,2025-09-21T17:29:05Z,2025-09-21 15:26:57.886080
109,2252556305301893,Cobalt Ore,6,43.33,260,true,2025-09-21T17:29:02Z,2025-09-21 15:26:57.886175
110,8726618484706019,Cobalt Ore,6,48.33,290,false,2025-09-21T17:25:56Z,2025-09-21 15:26:57.886270
111,6756293681414678,Cobalt Ore,6,47.5,285,false,2025-09-21T17:25:13Z,2025-09-21 15:26:57.886364
112,6756293681414677,Cobalt Ore,6,47.5,285,true,2025-09-21T17:25:07Z,2025-09-21 15:26:57.886459
113,12948743162627177,Cobalt Ore,6,48.33,290,false,2025-09-21T17:24:24Z,2025-09-21 15:26:57.886553
114,12948743162627182,Cobalt Ore,6,48.33,290,false,2025-09-21T17:24:15Z,2025-09-21 15:26:57.886655
115,8726537575072931,Cobalt Ore,1,50,50,false,2025-09-21T17:22:39Z,2025-09-21 15:26:57.886749
116,8726537575072931,Cobalt Ore,3,40.67,122,false,2025-09-21T17:21:03Z,2025-09-21 15:26:57.886842
117,6756226189755470,Cobalt Ore,6,45.33,272,true,2025-09-21T17:20:11Z,2025-09-21 15:26:57.886941
118,6756226189755469,Cobalt Ore,6,45.33,272,true,2025-09-21T17:20:07Z,2025-09-21 15:26:57.887035
119,8726618484706020,Cobalt Ore,6,45.67,274,true,2025-09-21T17:17:28Z,2025-09-21 15:26:57.887129
120,8726618484706019,Cobalt Ore,6,45.83,275,false,2025-09-21T17:17:10Z,2025-09-21 15:26:57.887226
121,3378474635692376,Cobalt Ore,6,49,294,false,2025-09-21T17:16:37Z,2025-09-21 15:26:57.887341
122,3660068219126606,Cobalt Ore,6,49.17,295,false,2025-09-21T17:14:47Z,2025-09-21 15:26:57.887438
123,3097116773647339,Cobalt Ore,6,49.17,295,false,2025-09-21T17:14:44Z,2025-09-21 15:26:57.887520
124,3097117093660215,Cobalt Ore,6,49.17,295,false,2025-09-21T17:14:41Z,2025-09-21 15:26:57.887603
125,5911845516280052,Cobalt Ore,2,40,80,true,2025-09-21T17:14:15Z,2025-09-21 15:26:57.887687
126,1971218680578224,Cobalt Ore,5,40,200,true,2025-09-21T17:13:15Z,2025-09-21 15:26:57.887771
127,39125777599693954,Cobalt Ore,3,44.33,133,true,2025-09-21T17:13:05Z,2025-09-21 15:26:57.887856
128,3378593910489286,Cobalt Ore,2,40,80,true,2025-09-21T17:13:03Z,2025-09-21 15:26:57.887939
129,14074556061188845,Cobalt Ore,6,49.83,299,false,2025-09-21T17:13:01Z,2025-09-21 15:26:57.888023
130,3659962180310144,Cobalt Ore,5,44.4,222,true,2025-09-21T17:12:24Z,2025-09-21 15:26:57.888104
131,14074556061188844,Cobalt Ore,6,50,300,false,2025-09-21T17:12:15Z,2025-09-21 15:26:57.888187
132,7882193516561513,Cobalt Ore,5,52,260,false,2025-09-21T17:11:05Z,2025-09-21 15:26:57.888271
133,7600688732635683,Cobalt Ore,5,50,250,false,2025-09-21T17:10:53Z,2025-09-21 15:26:57.888355
134,9008010119152260,Cobalt Ore,4,81.25,325,false,2025-09-21T17:10:15Z,2025-09-21 15:26:57.888439
135,1408175754516359,Cobalt Ore,3,53.33,160,true,2025-09-21T17:10:13Z,2025-09-21 15:26:57.888524
136,15200541057418288,Cobalt Ore,5,49.8,249,true,2025-09-21T17:07:31Z,2025-09-21 15:26:57.888609
137,16326442815391754,Cobalt Ore,5,57.8,289,false,2025-09-21T17:07:19Z,2025-09-21 15:26:57.888689
138,1689728584780027,Cobalt Ore,6,48.33,290,true,2025-09-21T17:07:11Z,2025-09-21 15:26:57.888771
139,2252612092953370,Cobalt Ore,6,48.33,290,true,2025-09-21T17:07:04Z,2025-09-21 15:26:57.888854
140,4504481825426111,Cobalt Ore,6,48.33,290,true,2025-09-21T17:06:58Z,2025-09-21 15:26:57.888936
141,12948743096566959,Cobalt Ore,6,49.67,298,true,2025-09-21T17:06:49Z,2025-09-21 15:26:57.889016
142,12948743096566960,Cobalt Ore,6,49.83,299,true,2025-09-21T17:06:45Z,2025-09-21 15:26:57.889096
143,2252609729201706,Cobalt Ore,2,49,98,true,2025-09-21T17:06:10Z,2025-09-21 15:26:57.889177
144,5630364915138655,Cobalt Ore,2,50,100,true,2025-09-21T17:06:08Z,2025-09-21 15:26:57.889295
145,6193257972236368,Cobalt Ore,4,38,152,true,2025-09-21T17:03:55Z,2025-09-21 15:26:57.889420
146,9289568385237077,Cobalt Ore,6,833.33,5000,true,2025-09-21T17:03:51Z,2025-09-21 15:26:57.889521
147,9289568385237076,Cobalt Ore,6,1333.33,8000,true,2025-09-21T17:03:37Z,2025-09-21 15:26:57.889805
148,2815642203193586,Cobalt Ore,5,40,200,true,2025-09-21T16:59:26Z,2025-09-21 15:26:57.889963
149,3097107080021754,Cobalt Ore,5,39,195,true,2025-09-21T16:58:34Z,2025-09-21 15:26:57.890060
150,3378586177832043,Cobalt Ore,6,37,222,true,2025-09-21T16:56:00Z,2025-09-21 15:26:57.890151
151,8726616392729480,Cobalt Ore,3,33,99,true,2025-09-21T16:52:25Z,2025-09-21 15:26:58.539427
152,15763492805214589,Cobalt Ore,6,33.33,200,true,2025-09-21T16:52:17Z,2025-09-21 15:26:58.539687
153,15482017809105715,Cobalt Ore,6,35.83,215,true,2025-09-21T16:51:33Z,2025-09-21 15:26:58.539936
154,15482017809105714,Cobalt Ore,6,35.83,215,true,2025-09-21T16:51:27Z,2025-09-21 15:26:58.540133
155,6756273643258036,Cobalt Ore,6,36.67,220,true,2025-09-21T16:50:56Z,2025-09-21 15:26:58.540300
156,6756273848779490,Cobalt Ore,6,36.67,220,true,2025-09-21T16:50:52Z,2025-09-21 15:26:58.540565
157,5911828474757211,Cobalt Ore,6,40,240,true,2025-09-21T16:48:57Z,2025-09-21 15:26:58.540809
158,3097002107601536,Cobalt Ore,5,35.6,178,true,2025-09-21T16:48:14Z,2025-09-21 15:26:58.541042
159,7600718457208988,Cobalt Ore,6,26.67,160,true,2025-09-21T16:46:42Z,2025-09-21 15:26:58.541230
160,7600718457208987,Cobalt Ore,6,26.67,160,true,2025-09-21T16:46:38Z,2025-09-21 15:26:58.541439
161,2534168802755502,Cobalt Ore,6,26.67,160,true,2025-09-21T16:46:32Z,2025-09-21 15:26:58.541682
162,7319203050291395,Cobalt Ore,4,25,100,true,2025-09-21T16:45:52Z,2025-09-21 15:26:58.541918
163,3378593800913453,Cobalt Ore,6,31.67,190,true,2025-09-21T16:45:22Z,2025-09-21 15:26:58.542024
164,5067443581684369,Cobalt Ore,5,36,180,true,2025-09-21T16:45:18Z,2025-09-21 15:26:58.542117
165,14074636421432067,Cobalt Ore,6,33.33,200,true,2025-09-21T16:41:53Z,2025-09-21 15:26:58.542207
166,14074636421432066,Cobalt Ore,6,33.33,200,true,2025-09-21T16:41:51Z,2025-09-21 15:26:58.542298
167,14918927295971537,Cobalt Ore,3,66.67,200,true,2025-09-21T16:39:14Z,2025-09-21 15:26:58.542389
168,2534158092665910,Cobalt Ore,6,33.33,200,true,2025-09-21T16:39:10Z,2025-09-21 15:26:58.542485
169,2534158092665909,Cobalt Ore,6,33.33,200,true,2025-09-21T16:39:06Z,2025-09-21 15:26:58.542575
170,1971187609701759,Cobalt Ore,5,28,140,true,2025-09-21T16:38:15Z,2025-09-21 15:26:58.542665
171,1971186281218061,Cobalt Ore,5,28,140,true,2025-09-21T16:38:09Z,2025-09-21 15:26:58.542755
172,1689700940514185,Cobalt Ore,3,25,75,true,2025-09-21T16:37:42Z,2025-09-21 15:26:58.542849
173,8726584133027776,Cobalt Ore,4,2625,10500,true,2025-09-21T16:34:16Z,2025-09-21 15:26:58.542971
174,8726618307559712,Cobalt Ore,6,24.83,149,true,2025-09-21T16:32:01Z,2025-09-21 15:26:58.543074
175,8726618307559711,Cobalt Ore,6,24.83,149,true,2025-09-21T16:31:54Z,2025-09-21 15:26:58.543174
176,8726618307559701,Cobalt Ore,6,24.83,149,true,2025-09-21T16:31:50Z,2025-09-21 15:26:58.543271
177,5630393531367755,Cobalt Ore,5,28.8,144,true,2025-09-21T16:31:38Z,2025-09-21 15:26:58.543365
178,14919067786020584,Cobalt Ore,6,25,150,true,2025-09-21T16:31:16Z,2025-09-21 15:26:58.543458
179,14919067786020583,Cobalt Ore,6,25,150,true,2025-09-21T16:31:11Z,2025-09-21 15:26:58.543548
180,2815643769177799,Cobalt Ore,6,31.67,190,true,2025-09-21T16:29:48Z,2025-09-21 15:26:58.543655
181,2815643769177800,Cobalt Ore,6,31.67,190,true,2025-09-21T16:29:44Z,2025-09-21 15:26:58.543746
182,7882193334830075,Cobalt Ore,6,36.83,221,true,2025-09-21T16:29:35Z,2025-09-21 15:26:58.543837
183,7882193334830074,Cobalt Ore,6,36.83,221,true,2025-09-21T16:29:29Z,2025-09-21 15:26:58.543927
184,7600711880083766,Cobalt Ore,2,22.5,45,true,2025-09-21T16:27:10Z,2025-09-21 15:26:58.544021
185,2815643769702285,Cobalt Ore,6,20,120,true,2025-09-21T16:25:45Z,2025-09-21 15:26:58.544112
